"file","caption","author","licence","source"
"banner_14.jpg","White water on the Nile, Jinja","Owobusingye","CC BY 4.0","https://commons.wikimedia.org/wiki/File:River_Nile,_Jinja,_Uganda_5.jpg"
"banner_15.jpg","Itanda Falls, Jinja District","Vanmulondo","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:The_Power_of_Itanda_Falls.jpg"
"banner_16.jpg","Irimbi Hill","Mmukwa59","CC0","https://commons.wikimedia.org/wiki/File:Irimbi_Hill_01.jpg"
"banner_17.jpg","Irimbi Hill","Mmukwa59","CC0","https://commons.wikimedia.org/wiki/File:Irimbi_Hill_02.jpg"
"banner_18.jpg","Busoga hills","Mmukwa59","CC0","https://commons.wikimedia.org/wiki/File:Busoga_Hill.jpg"
"banner_19.jpg","Rocky hillside, Busoga","Mmukwa59","CC0","https://commons.wikimedia.org/wiki/File:Busoga_hilI.jpg"
"banner_20.jpg","A traditional Busoga house","Erinamukuta","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Busoga_house.JPG"
"banner_21.jpg","Lake Victoria at Jinja","Chapelle musa","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Habitat_On_The_Shores_of_Lake_Victoria,Jinja,_Uganda.jpg"
"banner_22.jpg","Lake Victoria, Jinja District","Rachealmaps","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Lake_Victoria,Jinja_district.jpg"
"banner_23.jpg","Sunrise at the source of the Nile","Rukn950","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Source_of_Nile,_Spring_at_Jinja,_Lake_Victoria.jpg"
"banner_24.jpg","The Victoria Nile leaving Lake Victoria","Bernard DUPONT from FRANCE","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Victoria_Nile_out_of_Lake_Victoria_(18110088539).jpg"
"banner_25.jpg","The Victoria Nile near Jinja","Bernard DUPONT from FRANCE","CC BY-SA 2.0","https://commons.wikimedia.org/wiki/File:Victoria_Nile_out_of_Lake_Victoria_(18319022776).jpg"
"banner_26.jpg","Kakira sugarcane plantation, Jinja","Emma Oruk","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Iconic_Kakira_Sugarcane_Plantation_in_Jinja.jpg"
"banner_27.jpg","Storm clouds over Kaliro","Isac Fridlund","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Kaliro_20221030.jpg"
"banner_28.jpg","Wako Zibondo's ancestral palace","Tumusiime Derrick","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Wako_Zibondos_Mahomo_ancestral_palace.jpg"
"banner_29.jpg","The Tirinyi highway","Emma Oruk","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Leveled_Blue_Sky%27s_with_Spotted_Clouds_along_Tirinyi_highway_in_Namutumba_District.jpg"
"banner_30.jpg","Itanda Falls","Klyndah","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Itanda_Falls_Jinja.jpg"
"banner_31.jpg","The Nile at Itanda","Sandra Aceng","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Majestic_Itanda_Falls_in_Uganda_01.jpg"
"banner_32.jpg","Owen Falls Dam, Jinja","Movemus","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Owen_Falls_Dam_Jinja_Oct_2019_Dam_structure.jpg"
"banner_33.jpg","The Nile downstream of Owen Falls Dam","Movemus","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Owen_Falls_Dam_Jinja_Oct_2019_View_downstream.jpg"
"banner_34.jpg","Owen Falls Dam panorama","Movemus","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Owen_Falls_Dam_Jinja_Okt_2019_Panorama.jpg"
"banner_35.jpg","Busedde Health Centre IV, Jinja District","Mweva Centre","CC BY 3.0","https://commons.wikimedia.org/wiki/File:Busede_Sub-County_Health_Centre_IV_-_panoramio.jpg"
"banner_36.jpg","The railway at Nkono, Iganga District","Aqoragye","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Weather_in_Nkono_Iganga_District.jpg"
"banner_37.jpg","Main Street, Jinja","Ruslik0","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Streets_of_Jinja_02.JPG"
"banner_38.jpg","Sunset over maize fields","Oliversamson1","CC0","https://commons.wikimedia.org/wiki/File:Sunset_over_Maize_Fields_in_Rural_Uganda.jpg"
"banner_39.jpg","Rain clouds over banana gardens","BalukuBrian","CC BY-SA 4.0","https://commons.wikimedia.org/wiki/File:Thick_dark_clouds_over_houses_and_banana_plantations.jpg"
